datetime,track name,artist,album name,track duration,abum image url,spotify url,spotify track id,genre,track playing,tempo,acousticness,livelines,danceability,speechiness,loudness,energy,instrumentalness
2018-12-24 21:25:50,I'll Be Home,Meghan Trainor,I'll Be Home,219440,https://i.scdn.co/image/2d4e051608963b50bdcc57a35d88ec36b31e1f46,https://open.spotify.com/track/4ZWiQrSCsoZZsHm7GCYxv1,spotify:track:4ZWiQrSCsoZZsHm7GCYxv1,dance pop,TRUE,84.788,0.308,0.102,0.556,0.0257,-7.761,0.361,0.00000775
2018-12-24 21:29:30,Winter Wonderland,Tony Bennett,Winter Wonderland,149306,https://i.scdn.co/image/08d13a7ded9fd8d36df162604c45c8e88f3f2505,https://open.spotify.com/track/4FEzG5IQh9vt6nPhXwwVmj,spotify:track:4FEzG5IQh9vt6nPhXwwVmj,adult standards,TRUE,126.011,0.727,0.102,0.604,0.0319,-6.676,0.497,0.0000395
2018-12-24 21:35:41,I Saw Mommy Kissing Santa Claus,The Jackson 5,Christmas Album,181266,https://i.scdn.co/image/9f88848cd8ae2452f98a285001076d9ba58d7ff9,https://open.spotify.com/track/15sxLiiChE5dCW3Y756oas,spotify:track:15sxLiiChE5dCW3Y756oas,adult standards,TRUE,128.897,0.263,0.817,0.583,0.0538,-8.222,0.712,0.00000102
2018-12-24 21:38:43,8 Days of Christmas - Live,Destiny's Child,8 Days Of Christmas,209360,https://i.scdn.co/image/7686c24c2155eb682278eb8d485658ef1de23851,https://open.spotify.com/track/2CZWUmcG9swKChEPBllPra,spotify:track:2CZWUmcG9swKChEPBllPra,dance pop,TRUE,99.782,0.0599,0.0874,0.703,0.178,-1.875,0.805,0
2018-12-24 21:38:43,8 Days of Christmas - Live,Destiny's Child,8 Days Of Christmas,209360,https://i.scdn.co/image/7686c24c2155eb682278eb8d485658ef1de23851,https://open.spotify.com/track/2CZWUmcG9swKChEPBllPra,spotify:track:2CZWUmcG9swKChEPBllPra,dance pop,TRUE,99.782,0.0599,0.0874,0.703,0.178,-1.875,0.805,0
2018-12-24 21:42:13,Candy Cane Lane,Sia,Everyday Is Christmas,212386,https://i.scdn.co/image/77eb7c17cafe550382e885d1873e9bb7de519e1e,https://open.spotify.com/track/1NfNdnuFbTgYpRG0z5bHxv,spotify:track:1NfNdnuFbTgYpRG0z5bHxv,australian dance,TRUE,130.017,0.00366,0.0843,0.589,0.0623,-4.206,0.91,0.0000487
2018-12-24 21:45:45,When Christmas Comes Around,Matt Terry,When Christmas Comes Around,200786,https://i.scdn.co/image/e657945083e356c7211c0c6e75673191344264f2,https://open.spotify.com/track/3HgmWNk2YBRfh4NSdrCce2,spotify:track:3HgmWNk2YBRfh4NSdrCce2,talent show,TRUE,145.925,0.681,0.103,0.605,0.0413,-7.217,0.483,0
2018-12-24 21:49:07,You Make It Feel Like Christmas (feat. Blake Shelton),Gwen Stefani,You Make It Feel Like Christmas,156773,https://i.scdn.co/image/8390ee4fa63213fdae1f7fd3c7d798e39dc4576d,https://open.spotify.com/track/6C81GGUCNbEmR8gMIi0CpH,spotify:track:6C81GGUCNbEmR8gMIi0CpH,dance pop,TRUE,185.967,0.0123,0.124,0.515,0.0603,-4.286,0.876,0
2018-12-24 21:54:15,At Christmas,Kylie Minogue,Kylie Christmas (Snow Queen Edition),226826,https://i.scdn.co/image/77eb7c17cafe5503ee33c55bdb2e1a33e3aa13be,https://open.spotify.com/track/3gh7XKogco53YM1AGJ0OGD,spotify:track:3gh7XKogco53YM1AGJ0OGD,australian dance,TRUE,136.994,0.0767,0.0425,0.794,0.045,-5.618,0.732,0
2018-12-24 22:01:40,Santa's Coming For Us,Sia,Santa's Coming For Us,206533,https://i.scdn.co/image/91f1ded9dc18470b167c23044a1286812ce053c3,https://open.spotify.com/track/3txjyObHLw10MqpL6PyMJ7,spotify:track:3txjyObHLw10MqpL6PyMJ7,australian dance,TRUE,93.057,0.0205,0.047,0.669,0.0999,-4.486,0.854,0
2018-12-24 22:05:07,Show Me The Magic,Jamie Cullum,Show Me The Magic,150412,https://i.scdn.co/image/2346d8aa4ba953d7da2ef77f9cdec7e74a42ed0e,https://open.spotify.com/track/0yhNApb5f23UkttdQekW3P,spotify:track:0yhNApb5f23UkttdQekW3P,adult standards,TRUE,123.567,0.235,0.29,0.569,0.04,-5.595,0.489,0
